Trial Id,Phase,Condition,Intervention,High Confidence Event(s),Death Category,Has death? (Y/N)
NCT00673049,Phase 3,Carcinoma_Large_Cell Carcinoma_Non-Small-Cell_Lung Carcinoma_Squamous_Cell Carcinoma_Adenosquamous_Cell ,CP_751871_(Figitumumab) Erlotinib Erlotinib ,Oesophagitis Gangrene Diabetes_mellitus_inadequate_control Acute_pulmonary_oedema Haemorrhage Rectal_cancer Cerebral_haemorrhage ,General_disorders ,Y
NCT00673387,Phase 2,Overweight Obesity ,pramlintide_acetate metreleptin placebo-P placebo-M ,N/A,N/A,N
NCT00673673,Phase 2,Gastroesophageal_Cancer Gastric_Cancer ,FOLFOX bevacizumab ,N/A,N/A,N
NCT00673738,Phase 2,Lung_Cancer,Cetuximab Conformal_Thoracic_Radiotherapy_(CTRT) ,N/A,General_disorders ,Y
NCT00674154,Phase 2/Phase 3,Vitamin_D_Deficiency Primary_Hyperparathyroidism Hypercalcemia ,Cholecalciferol,N/A,N/A,N
NCT00674206,Phase 2,Breast_Cancer,Gemcitabine Oxaliplatin ,N/A,N/A,N
NCT00674323,Phase 4,Polypoidal_Choroidal_Vasculopathy,Verteporfin_Photodynamic_Therapy Ranibizumab ,N/A,N/A,N
NCT00674362,Phase 3,Rheumatoid_Arthritis,Certolizumab_pegol Placebo ,N/A,N/A,N
NCT00674609,Phase 3,Palliative_Care Pain Cancer ,Placebo Sativexå¨ THC_Alone ,Malaise Cardio-respiratory_arrest ,N/A,N
NCT00674739,Phase 3,Genital_Warts,Imiquimod 3.75_PERCENT_imiquimod_cream placebo_cream ,N/A,N/A,N
NCT00674986,N/A,Diabetes_Mellitus_Type_2,Accu-Chek_360å¡_View_Blood_Glucose_Analysis_Tool Accu-Chek_Aviva_Glucose_Meter ,N/A,N/A,N
NCT00675103,Phase 3,Chronic_Gout_Refractory_to_Conventional_Therapy,pegloticase_8_mg_i.v.,N/A,N/A,N
NCT00675428,Phase 1/Phase 2,Multiple_Myeloma,BG00002_(natalizumab),N/A,N/A,N
NCT00675584,Phase 3,Asthma,Budesonide Placebo_Budesonide ,N/A,N/A,N
NCT00675792,Phase 3,Anesthesia,Sugammadex Neostigmine Rocuronium ,N/A,N/A,N
NCT00675948,Phase 3,Pain Cancer ,Sativex GW-2000-02 ,Haematemesis ,N/A,N
NCT00675922,Phase 2/Phase 3,Burn,Sulfamylon_5_PERCENT_and_Silver_Nitrate_Soaks,N/A,Infections_and_infestations Renal_and_urinary_disorders Respiratory_thoracic_and_mediastinal_disorders ,Y
NCT00676130,N/A,Cellulitis,trimethoprim-sulfamethoxazole Cephalexin ,N/A,N/A,N
NCT00676091,Phase 3,Vaccines_Pneumococcal_Conjugate_Vaccine,13-Valent_Pneumococcal_Conjugate_Vaccine_(13vPnC) 7-Valent_Pneumococcal_Conjugate_Vaccine_(7vPnc) ,N/A,N/A,N
NCT00676338,Phase 3,Type_2_Diabetes_Mellitus,exenatide_once_weekly metformin sitagliptin pioglitazone ,Cardiopulmonary_failure ,N/A,N
NCT00676520,Phase 4,Coronary_Artery_Disease,XIENCE_Vå¨_Everolimus_Eluting_Coronary_Stent,Cardiac_failure_acute Cardio-respiratory_arrest Coronary_artery_stenosis Sick_sinus_syndrome Ventricular_fibrillation Ventricular_tachycardia Multi-organ_failure Cerebral_haemorrhage Cerebral_ischaemia Encephalopathy Hemiparesis Haematoma Haemorrhage Orthostatic_hypotension Peripheral_ischaemia ,Cardiac_disorders General_disorders ,Y
NCT00676403,Phase 2,Restless_Legs_Syndrome,placebo Pregabalin Pregabalin Pregabalin Pregabalin Pregabalin ,N/A,N/A,N
NCT00676650,Phase 3,Prostatic_Neoplasms,Prednisone sunitinib Placebo Prednisone ,Cardio-respiratory_arrest Haematemesis Melaena Oesophagitis Malaise Multi-organ_failure Fracture Haemoglobin_decreased Musculoskeletal_pain Rectal_cancer Cerebral_ischaemia Circulatory_collapse Haematoma Haemorrhage Spinal_column_stenosis Bladder_cancer ,General_disorders ,Y
NCT00677235,Phase 4,Stenosis_of_Vascular_Prosthetic_Devices_Implants_and_Grafts,FLAIR_Endovascular_Stent_Graft PTA ,N/A,N/A,N
NCT00677352,Phase 4,Panic_Disorder,sertraline Paroxetine ,N/A,N/A,N
NCT00677365,Phase 2,Cystic_Fibrosis_(CF),MP-376 Placebo ,N/A,N/A,N
NCT00677820,Phase 4,Influenza,Trivalent_influenza_virus_vaccine Placebo ,N/A,N/A,N
NCT00677807,Phase 3,COPD,Indacaterol Placebo ,Orthostatic_hypotension Sick_sinus_syndrome ,N/A,N
NCT00677924,Phase 1/Phase 2,Colorectal_Cancer,Zalutumumab,N/A,N/A,N
NCT00677833,Phase 2/Phase 3,Malaria_Falciparum,Azithromycin_plus_Chloroquine Artemether-lumefantrine ,N/A,N/A,N
NCT00678249,N/A,Stenoses,FLAIR_Endovascular_Stent_Graft PTA FLAIR_Endovascular_Stent_Graft ,N/A,Cardiac_disorders ,Y
NCT00678288,Phase 2,Carcinoma_Renal_Cell,Sorafenib_(Nexavar_BAY43-9006) Sorafenib_(Nexavar_BAY43-9006)_+_Interferon ,Fracture ,N/A,N
NCT00678210,Phase 2,Psoriasis,CP-690550 CP-690550 CP-690550 Placebo ,N/A,N/A,N
NCT00678418,Phase 3,Opiate_Dependence,VIVITROLå¨_380_mg Placebo ,N/A,N/A,N
NCT00678639,N/A,Acute_Coronary_Syndrome Chest_Pain ,Observation_unit_care_coupled_with_cardiac_MRI,N/A,N/A,N
NCT00678535,Phase 3,Gastric_Cancer,Cetuximab Capecitabine Cisplatin ,Cardio-respiratory_arrest Cardiopulmonary_failure Sick_sinus_syndrome Melaena Musculoskeletal_pain Cerebral_haemorrhage Cerebral_ischaemia Peripheral_ischaemia Haematemesis Multi-organ_failure Cystitis Gangrene Hemiparesis Circulatory_collapse ,General_disorders ,Y
NCT00678392,Phase 3,Kidney_Neoplasms,Axitinib_(AG-013736) Sorafenib ,Cardiopulmonary_failure Melaena Cholangitis Cerebral_haemorrhage Lung_disorder Spinal_column_stenosis Cerebral_ischaemia Hemiparesis Haemorrhage ,General_disorders ,Y
NCT00678587,Phase 3,Non-alcoholic_Steatohepatitis Chronic_Liver_Disease HCV NASH. HIV_Infection Thrombocytopenia Hepatitis_C_Virus HBV Human_Immunodeficiency_Virus Liver_Diseases Hepatitis_B_Virus ,Eltrombopag Placebo ,Multi-organ_failure Encephalopathy Orthostatic_hypotension ,N/A,N
NCT00678795,Phase 3,Detrusor_Overactivity Multiple_Sclerosis ,Sativexå¨ Placebo ,N/A,N/A,N
NCT00679055,Phase 1,Peripheral_Vascular_Diseases,MK-0736 Comparator:_placebo_(unspecified) ,Cardiac_failure_acute Cardio-respiratory_arrest ,N/A,N
NCT00679211,Phase 2,Metastatic_Breast_Cancer,Trastuzumab_emtansine_[Kadcyla],N/A,N/A,N
NCT00679341,Phase 2,Breast_Cancer,Trastuzumab_emtansine_[Kadcyla] Trastuzumab Docetaxel ,Cardiopulmonary_failure ,General_disorders ,Y
NCT00679380,Phase 3,Ulcerative_Colitis,Blood_sampling_endoscopy Budesonide_MMXå¨_6_mg Budesonide_MMXå¨_9_mg Entocort_ECå¨_3_mg Placebo ,N/A,N/A,N
NCT00679354,Phase 2,Childhood_High-grade_Cerebellar_Astrocytoma Childhood_High-grade_Cerebral_Astrocytoma Recurrent_Childhood_Anaplastic_Astrocytoma Recurrent_Childhood_Anaplastic_Oligoastrocytoma Recurrent_Childhood_Anaplastic_Oligodendroglioma Recurrent_Childhood_Brain_Tumor Recurrent_Childhood_Cerebellar_Astrocytoma Recurrent_Childhood_Cerebral_Astrocytoma Recurrent_Childhood_Glioblastoma Recurrent_Childhood_Visual_Pathway_and_Hypothalamic_Glioma ,cilengitide laboratory_biomarker_analysis pharmacological_study ,Encephalopathy ,General_disorders ,Y
NCT00679432,Phase 3,Ulcerative_Colitis,Blood_sampling_endoscopy budesonide-MMXå¨_6_mg budesonide-MMXå¨_9_mg Placebo Asacolå¨_400_mg ,N/A,N/A,N
NCT00679627,Phase 3,Alzheimer's_Disease,Galantamine Placebo ,N/A,General_disorders ,Y
NCT00679783,Phase 2,Ovarian_Carcinoma Breast_Cancer ,AZD2281,Haematemesis ,N/A,N
NCT00680043,Phase 2,Anemia Chronic_Renal_Failure Chronic_Kidney_Disease ,peginesatide peginesatide Epoetin_Alfa ,N/A,N/A,N
NCT00680017,Phase 3,Dyslipidemia Kidney_Disease ,ABT-335_plus_rosuvastatin Rosuvastatin ,N/A,N/A,N
NCT00679939,Phase 4,Diabetes_Mellitus_Type_2,Rosiglitazone Metformin ,N/A,General_disorders ,Y
NCT00680186,Phase 3,Thromboembolism,Warfarin Dabigatran_etexilate ,Melaena Haemoglobin_decreased Bladder_cancer Metastases_to_liver Cerebral_haemorrhage Circulatory_collapse Haematoma Haemorrhage Orthostatic_hypotension Ventricular_fibrillation Ventricular_tachycardia Haematemesis Multi-organ_failure Localised_infection ,General_disorders ,Y
NCT00680368,N/A,Healthy,N/A,N/A,N/A,N
NCT00680745,Phase 3,Type_2_Diabetes,dapagliflozin Glimepiride metformin_hydrochloride pioglitazone_hydrochloride Rosiglitazone ,N/A,N/A,N
NCT00680914,Phase 3,Pneumococcal_Disease Streptococcus_Pneumoniae_Vaccines ,Pneumococcal_vaccine_GSK1024850A_(Synflorix) Prevenar GSK_Biologicals'_Hiberix‰ã¢ ,Cystitis ,N/A,N
NCT00680953,Phase 3,Osteoporosis,Denosumab Placebo Alendronate_sodium_hydrate ,Metastases_to_liver Aortic_aneurysm Cardiac_failure_acute Duodenal_ulcer Cholangitis Cerebral_haemorrhage Circulatory_collapse ,N/A,N
NCT00681187,Phase 4,Neuroendocrine_Tumour_With_Carcinoid_Symptoms,lanreotide_(Autogel_formulation),Cholangitis ,General_disorders ,Y
NCT00680901,Phase 3,Neoplasms_Gastrointestinal_Tract,Lapatinib Placebo Capecitabine Oxaliplatin ,Cardio-respiratory_arrest Melaena Multi-organ_failure Haemoglobin_decreased Circulatory_collapse Haemorrhage Haematemesis ,General_disorders ,Y
NCT00681564,Phase 3,Periodontitis,One-Stage_Full-Mouth_Disinfection Periodontal_care ,N/A,N/A,N
NCT00681538,Phase 3,Spasticity Multiple_Sclerosis ,Sativexå¨ Placebo ,N/A,N/A,N
NCT00681824,Phase 2,Pathological_Processes_in_the_Posterior_Fossa Dura_Defects ,Fibrin_Sealant_Vapor_Heated_Solvent/Detergent-treated_with_500_IU/mL_thrombin_and_synthetic_aprotinin_(FS_VH_S/D_500_s-apr) Standard_of_care ,N/A,N/A,N
NCT00681811,Phase 2,Late_Infantile_Metachromatic_Leukodystrophy,HGT-1111,N/A,N/A,N
NCT00681863,Phase 3,Tourette_Syndrome,pramipexole_0.125_mg_BID pramipexole_0.0625_mg_QD pramipexole_0.125_mg_TID pramipexole_0.25_mg_BID pramipexole_0.0625_mg_BID ,N/A,N/A,N
NCT00682461,Phase 1,Healthy_Volunteer_Smokers,Nicotine Nicotine ,N/A,N/A,N
NCT00682565,Phase 2,Heart_Failure Myocardial_Ischemia Angina_Pectoris ,CK-1827452 CK-1827452 CK-1827452 CK-1827452 Placebo Placebo Placebo ,N/A,N/A,N
NCT00682734,Phase 3,Migraine,metoclopramide metoclopramide metoclopramide Diphenhydramine_25mg ,N/A,N/A,N
NCT00682643,Phase 4,Rhinitis_Allergic_Perennial,fluticasone_furoate_nasal_spray vehicle_placebo_nasal_spray ,Cerebral_haemorrhage ,Pregnancy_puerperium_and_perinatal_conditions ,Y
NCT00682786,Phase 2,Rectal_Carcinoma,5FU Radiation Surgery_of_resectable_lesions Irinotecan ,N/A,N/A,N
NCT00683085,Phase 1/Phase 2,Pancreatic_Cancer Pancreas_Neoplasms ,HLA-A02:01-restricted_VEGFR1-derived_peptide_vaccination,N/A,N/A,N
NCT00683384,N/A,Arthritis_Psoriatic,Etanercept_(Enbrel),N/A,General_disorders ,Y
NCT00683332,N/A,Complicated_Skin_and_Skin_Structure_Infections Complicated_Intra-abdominal_Infections ,Tigecycline_(Tygacil),N/A,N/A,N
NCT00683410,N/A,Vaccines_Pneumococcal_Conjugate_Vaccine,Pneumococcal_Conjugate_Vaccine_7-valent_(Prevenar),N/A,N/A,N
NCT00683449,Phase 2,Asthma Status_Asthmaticus ,Dose_Group_1 MN-221_placebo Dose_Group_2 Dose_Group_3 ,N/A,N/A,N
NCT00683592,Phase 3,Major_Depressive_Disorder,vilazodone placebo ,N/A,N/A,N
NCT00683475,Phase 2,Prostate_Cancer,IMC-A12 Mitoxantrone Prednisone IMC-1121B_(ramucirumab) ,N/A,N/A,N
NCT00683618,Phase 3,Hypercholesterolemia,Rosuvastatin Atorvastatin ,N/A,N/A,N
NCT00683696,Phase 2/Phase 3,Heart_Failure Ventricular_Dyssynchrony ,Implantable_Cardioverter_Defibrillator_with_Cardiac_Resynchronization_Therapy_(BIOTRONIK_Lumax_HF-T_CRT-D),N/A,N/A,N
NCT00683787,Phase 2,Gastric_Cancer,docetaxel vandetanib ,N/A,N/A,N
NCT00683904,Phase 1,Carcinoma_Non-Small-Cell_Lung,Ixabepilone_32_mg/m^2_+_Carboplatin_5_mg/min/mL Ixabepilone_32_mg/m^2_+_Carboplatin_6_mg/min/mL ,N/A,N/A,N
NCT00684021,Phase 2,Left_Ventricular_Dysfunction,Adult_stem_cells Placebo ,N/A,N/A,N
NCT00683930,Phase 3,Pemphigus_Vulgaris_(PV),Mycophenolate_Mofetil_2_g/Day Mycophenolate_Mofetil_(MMF)_3_g/Day Placebo ,N/A,N/A,N
NCT00684060,Phase 2,Left_Ventricular_Dysfunction,Adult_stem_cells Placebo ,N/A,N/A,N
NCT00684203,Phase 2,Atherosclerosis Myocardial_Ischemia Myocardial_Infarction ,Vorapaxar Placebo Aspirin Clopidogrel ,N/A,N/A,N
NCT00684242,Phase 2,Advanced_Cancer Pain ,Lenalidomide,N/A,N/A,N
NCT00683800,Phase 3,Vasomotor_Symptoms,desvenlafaxine_succinate_(DVS)_SR Placebo ,N/A,N/A,N
NCT00684177,Phase 3,Secondarily-infected_Abrasions Secondarily-infected_Lacerations Secondarily-infected_Sutured_Wounds Secondarily-infected_Traumatic_Lesions Skin_Infections_Bacterial ,Retapamulin_Ointment_1_PERCENT Placebo_ointment ,N/A,N/A,N
NCT00684307,Phase 2,Nonvalvular_Atrial_Fibrillation,AZD0837 Vitamin-K_antagonist_at_INR_2-3 AZD0837 ,Haematemesis ,Gastrointestinal_disorders ,Y
NCT00684424,Phase 4,Epilepsy,Non-Interventional_Study,N/A,N/A,N
NCT00684515,Phase 2,Cerebral_Infarction,Vorapaxar_2.5_mg Vorapaxar_1_mg Placebo Aspirin_75-150_mg ,N/A,N/A,N
NCT00684567,Phase 2,Glioblastoma,Radiotherapy Temozolomide ,N/A,N/A,N
NCT00684593,Phase 2,Psoriasis,Navarixin_10_mg Placebo ,N/A,N/A,N
NCT00684645,N/A,Metastatic_Renal_Cell_Carcinoma,SUTENT,N/A,N/A,N
NCT00684671,Phase 4,Viral_Hepatitis_Vaccines Hepatitis_B Hepatitis_A ,Twinrix Engerix-B Havrix HBVAXPRO Vaqta ,N/A,N/A,N
NCT00684996,Phase 1/Phase 2,Recurrent_Renal_Cell_Cancer Renal_Cell_Carcinoma Stage_III_Renal_Cell_Cancer Stage_IV_Renal_Cell_Cancer ,etaracizumab bevacizumab ,N/A,N/A,N
NCT00685373,Phase 3,Cryopyrin-associated_Periodic_Syndromes: Familial_Cold_Autoinflammatory_Syndrome Muckle_Wells_Syndrome Neonatal_Onset_Multisystem_Inflammatory_Disease ,Canakinumab_(ACZ885),N/A,N/A,N
NCT00685698,Phase 2,Diabetic_Foot_Infections,TG-873870_(Nemonoxacin),N/A,N/A,N
NCT00684983,Phase 2,HER2/Neu_Positive Stage_IIIB_Breast_Cancer Stage_IIIC_Breast_Cancer Stage_IV_Breast_Cancer ,Capecitabine Cixutumumab Laboratory_Biomarker_Analysis Lapatinib_Ditosylate Quality-of-Life_Assessment ,N/A,N/A,N
NCT00686036,Phase 2,Prostate_Cancer,vandetanib Placebo ,N/A,N/A,N
NCT00686335,Phase 2,Asthma,Lodotra Cortancyl ,N/A,N/A,N
NCT00686517,Phase 3,Hepatitis_C,Pegylated_interferon_alfa-2b Ribavirin ,N/A,N/A,N
NCT00686647,N/A,Coronary_Artery_Disease Myocardial_Ischemia ,AngioSculptå¨_Scoring_Balloon_Catheter AngioSculpt_Scoring_Balloon_Catheter ,N/A,Cardiac_disorders ,Y
NCT00686595,Phase 4,Psoriasis,Infliximab,N/A,N/A,N
NCT00686543,Phase 4,Fungal_Infection Acute_Myelogenous_Leukemia Neutropenia ,Posaconazole,N/A,N/A,N
NCT00686075,Phase 1/Phase 2,Healthy,MEDI-534_Cohort_1 Placebo_Cohort_1 MEDI-534_Cohort_2 Placebo_Cohort_2 MEDI-534_Cohort_3 Placebo_Cohort_3 MEDI-534_Cohort_4 Placebo_Cohort_4 MEDI-534_Cohort_5 Placebo_Cohort_5 ,N/A,N/A,N
NCT00686686,Phase 3,Psoriasis,Infliximab,N/A,N/A,N
NCT00686790,Phase 3,Hepatitis_D_Chronic Hepatitis_B_Chronic ,Peginterferon_alfa-2b_(PegIntron_SCH_54031),N/A,N/A,N
NCT00686777,Phase 4,Hepatitis_C_Chronic,Pegylated_Interferon_alfa-2b Ribavirin ,N/A,N/A,N
NCT00686725,Phase 4,Glioblastoma,Temozolomide Radiotherapy ,N/A,N/A,N
NCT00686855,Phase 2,Oral_Chronic_Graft-versus-host_Disease,Tacrolimus Dexamethasone ,N/A,N/A,N
NCT00686712,Phase 4,Type_2_Diabetes_Mellitus,Insulin_glargine Insulin_glargine NPH_insulin ,N/A,N/A,N
NCT00686842,Phase 1/Phase 2,Kaposi's_Sarcoma,VEGF_inhibitor_PTC299 gene_expression_analysis polymerase_chain_reaction protein_expression_analysis immunohistochemistry_staining_method laboratory_biomarker_analysis pharmacological_study biopsy ,N/A,General_disorders ,Y
NCT00686881,Phase 3,Hepatitis_C_Chronic,Peginterferon_alfa-2b_(PegIFN-2b) Comparator:_Stronger_neo_minophagen_C_(SNMC) ,N/A,N/A,N
NCT00686998,Phase 2,Schizophrenia,AZD2624 Olanzapine Placebo ,N/A,N/A,N
NCT00687076,Phase 4,Peripheral_Arterial_Disease,Ezetimibe Niaspan Statin_therapy Standard_care Aspirin Clopidogrel Placebo_Niaspan Placebo_Ezetimibe Percutaneous_transluminal_angioplasty_(PTA) ,N/A,N/A,N
NCT00687219,Phase 3,Hepatitis_C_Chronic Liver_Cirrhosis ,Peginterferon_alfa-2b Ribavirin ,N/A,N/A,N
NCT00687193,Phase 2,Arthritis_Rheumatoid,Placebo CP-690550 CP-690550 CP-690550 CP-690550 CP-690550 ,N/A,N/A,N
NCT00687401,Phase 3,Psoriasis,Infliximab,N/A,N/A,N
NCT00687323,Phase 2,Leukemia_Acute_Myeloid Myelodysplastic_Syndrome ,temozolomide,N/A,N/A,N
NCT00687297,Phase 2,Lung_Cancer Non_Small_Cell_Lung_Cancer ,vandetanib_induction Docetaxel Carboplatin Placebo Vandetanib_maintenance ,Fracture ,General_disorders ,Y
NCT00687440,Phase 2,Breast_Neoplasm,Pegylated_Liposomal_Doxorubicin Docetaxel Trastuzumab ,N/A,N/A,N
NCT00687544,Phase 4,Hepatitis_C_Chronic Hepacivirus HIV_Infections ,Peginterferon_alfa-2b_(SCH_054031) Ribavirin_(SCH_018908) ,N/A,N/A,N
NCT00687674,Phase 1/Phase 2,Multiple_Myeloma_and_Plasma_Cell_Neoplasm,dexamethasone sorafenib_tosylate Lenalidomide ,N/A,N/A,N
NCT00687908,Phase 3,Acne,Adapalene_0.1_PERCENT_/_Benzoyl_Peroxide_2.5_PERCENT_Gel Vehicle_Gel ,N/A,N/A,N
NCT00687804,Phase 3,Diabetic_Macular_Edema,Ranibizumab Laser Sham_laser Sham_to_ranibizumab ,Cardiopulmonary_failure Oesophagitis Multi-organ_failure Spinal_column_stenosis Malaise Rectal_cancer Renal_failure_chronic Skin_ulcer Localised_infection ,N/A,N
NCT00687973,Phase 4,Hypertension,Valsartan/amlodipine_80/5_mg_tablets Amlodipine_5_mg_capsules Amlodipine_10_mg_capsules Atenolol_50_mg_tablets Atenolol_100_mg_tablets ,N/A,N/A,N
NCT00688103,Phase 4,Rheumatoid_Arthritis,ETN_Alone ETN+MTX ,N/A,N/A,N
NCT00688467,Phase 2,Asthma,Navarixin Placebo ,N/A,N/A,N
NCT00688545,N/A,Arthritis_Juvenile_Rheumatoid,Celecoxib nsNSAIDs ,N/A,N/A,N
NCT00688740,Phase 3,Breast_Cancer,Docetaxel 5-fluorouracil Doxorubicin Cyclophosphamide ,Oesophagitis Melaena Localised_infection Lung_disorder Circulatory_collapse Orthostatic_hypotension Haemorrhage ,N/A,N
NCT00689052,Phase 2,Fibromyalgia,pramipexole_ER placebo ,N/A,N/A,N
NCT00688688,Phase 3,Urinary_Bladder_Overactive,Mirabegron Tolterodine Placebo_to_Mirabegron Placebo_to_Tolterodine ,Sick_sinus_syndrome Ventricular_fibrillation Ventricular_tachycardia Oesophagitis Multi-organ_failure Spinal_column_stenosis Aortic_aneurysm Haemorrhage Localised_infection Coronary_artery_stenosis Duodenal_ulcer Musculoskeletal_pain ,N/A,N
NCT00688870,Phase 3,Vaccines Pneumococcal_Conjugate_Vaccine ,13-valent_pneumococcal_conjugate_vaccine_(13vPnC) 7-valent_pneumococcal_conjugate_vaccine_(7vPnC) ,N/A,N/A,N
NCT00689117,Phase 3,Acne_Vulgaris Acne ,CT_Gel Clindamycin_Gel_(clindamycin_) Tretinoin_Gel_(tretinoin) Vehicle_Gel ,N/A,N/A,N
NCT00689260,Phase 4,Growth_Hormone_Deficiency,easypod easypod ,N/A,N/A,N
NCT00689299,Phase 2,Allergy,Standardized_Allergenic_Extract_Cat_Hair Placebo ,N/A,N/A,N
NCT00689338,Phase 3,Invasive_Candidiasis,Anidulafungin Fluconazole Voriconazole ,Cardiac_failure_acute Cardio-respiratory_arrest Cardiopulmonary_failure Haematemesis Multi-organ_failure Cerebral_ischaemia Hemiparesis Circulatory_collapse Haemorrhage ,General_disorders ,Y
NCT00689221,Phase 3,Glioblastoma,Cilengitide Temozolomide Radiotherapy ,N/A,N/A,N
NCT00689104,Phase 3,Urinary_Bladder_Overactive,Mirabegron Tolterodine Placebo_to_Mirabegron Placebo_to_Tolterodine ,Cardiac_failure_acute Cerebral_ischaemia ,N/A,N
NCT00689351,Phase 2,Pneumococcal_Vaccine,13-valent_pneumococcal_conjugate_vaccine 7-valent_pneumococcal_conjugate_vaccine ,N/A,N/A,N
NCT00689611,Phase 3,Acute_Coronary_Syndrome Myocardial_Infarction Smoking ,Bupropion_HCl_ER Placebo ,N/A,General_disorders ,Y
NCT00690482,Phase 2,Moderate_to_Severe_COPD,AZD1981 Placebo ,N/A,N/A,N
NCT00690612,Phase 3,Hypertension,candesartan_cilexetil,N/A,N/A,N
NCT00690573,Phase 3,Juvenile_Rheumatoid_Arthritis,Adalimumab,N/A,N/A,N
NCT00690430,Phase 3,Symptomatic_Refractory_Resistant_Carcinoid_Disease,Pasireotide Octreotide ,Renal_failure_chronic Malaise Cholangitis Hemiparesis Orthostatic_hypotension ,N/A,N
NCT00690898,Phase 3,Acromegaly,Lanreotide_autogel_120_mg,N/A,N/A,N
NCT00691054,Phase 2,Pancreatic_Cancer,Abraxane,N/A,N/A,N
NCT00691028,Phase 3,Rheumatoid_Arthritis,TA-650_3_mg/kg TA-650_6_mg/kg TA-650_10_mg/kg ,N/A,N/A,N
NCT00691483,Phase 4,Smoking_Cessation,placebo varenicline ,N/A,N/A,N
NCT00691210,Phase 1,Hodgkin's_Disease Non-Hodgkin's_Lymphoma ,Vorinostat Niacinamide Etoposide ,N/A,General_disorders ,Y
NCT00691704,Phase 2,Multiple_Myeloma,Lenalidomide_Induction Sequential_Maintenance_Therapy ,N/A,N/A,N
NCT00692419,N/A,End_Stage_Renal_Disease Sexual_Dysfunction_Physiological Pain Depression ,Symptom_management_nurse_intervention Feedback_intervention ,N/A,General_disorders ,Y
NCT00692913,Phase 3,Osteoporosis,FOSAVANCE_5600_(Alendronate_Sodium_(+)_cholecalciferol) Calcium_Supplement_500_mg Referred-Care_Model ,N/A,N/A,N
NCT00693017,Phase 3,Epilepsy,Zonisamide Placebo ,N/A,General_disorders ,Y
NCT00692770,Phase 3,Carcinoma_Hepatocellular,Nexavar_(Sorafenib_BAY43-9006) Placebo ,Duodenal_ulcer Haematemesis Multi-organ_failure Cerebral_haemorrhage Cerebral_ischaemia Encephalopathy Skin_ulcer Cholangitis Bladder_cancer ,General_disorders ,Y
NCT00693238,Phase 2,Prostate_Cancer,Low_Risk_Proton_Radiation Intermediate_Risk_Proton_Radiation ,N/A,N/A,N
NCT00693420,Phase 3,Eyelashes,Bimatoprost_0.03_PERCENT_sterile_solution vehicle_sterile_solution ,N/A,N/A,N
NCT00693485,Phase 2,Glaucoma_Open-Angle,400_ug_Brimonidine_Implant 200_ug_Brimonidine_Implant Sham_(no_implant) ,N/A,N/A,N
NCT00693498,N/A,Congenital_Heart_Disease,Standard_leukoreduced_irradiated_blood_cell_transfusion Washed_leukoreduced_irradiated_blood_cell_transfusions ,N/A,Cardiac_disorders ,Y
NCT00693719,Phase 2,Breast_Cancer,Etoposide Irinotecan_hydrochloride ,N/A,N/A,N
NCT00693706,Phase 1,Influenza_Vaccines Seasonal_Influenza ,Trivalent_influenza_vaccine_GSK_138842A Fluarix ,N/A,N/A,N
NCT00693784,N/A,Low_Back_Pain,Biostatå¨_Disc_Augmentation_System,N/A,N/A,N
NCT00694018,N/A,Back_Pain,Education_and_standard_care Internet_mediated_enhanced_pedometer_intervention ,N/A,N/A,N
NCT00694304,Phase 3,Major_Depressive_Disorder,Vortioxetine_(Lu_AA21004),N/A,N/A,N
NCT00694161,Phase 2,Cardiomyopathy,Fx-1006A,Ventricular_tachycardia Haemorrhage ,N/A,N
NCT00694551,N/A,Prostate_Cancer,Peptide_Vaccine Poly_IC-LC ,N/A,N/A,N
NCT00694603,Phase 2,Non-small_Cell_Lung_Cancer,Cetuximab,N/A,N/A,N
NCT00695019,Phase 2,Hepatitis_C_Chronic,interferon-alpha_lozenges placebo_lozenges ,N/A,N/A,N
NCT00695292,Phase 2,Small_Cell_Lung_Cancer,irinotecan Carboplatin sunitinib ,N/A,General_disorders ,Y
NCT00695318,Phase 2,Age-Related_Macular_Degeneration,Fluocinolone_Acetonide Fluocinolone_Acetonide ,Ventricular_tachycardia Cerebral_haemorrhage ,N/A,N
NCT00695396,Phase 3,Myelodysplastic_Syndromes Anemia ,Placebo Epoetin_alfa Placebo Epoetin_alfa ,N/A,N/A,N
NCT00695669,Phase 2,Influenza,Influenza_A_(H5N1)_Virus_Monovalent_Vaccine,N/A,N/A,N
NCT00695903,Phase 2,Endocarditis_Bacterial Infective_Endocarditis ,daptomycin vancomycin ,N/A,N/A,N
NCT00695955,Phase 3,Hypertension,Azilsartan_medoxomil_with_or_without_add-on_chlorthalidone Azilsartan_medoxomil_with_or_without_add-on_hydrochlorothiazide ,Oesophagitis ,N/A,N
NCT00696241,Phase 3,Hypertension,Azilsartan_medoxomil_and_olmesartan Azilsartan_medoxomil_and_olmesartan Azilsartan_medoxomil_and_olmesartan Olmesartan Placebo ,N/A,N/A,N
NCT00696384,Phase 3,Hypertension,Azilsartan_medoxomil Azilsartan_medoxomil_with_or_without_chlorthalidone_and_other_non-angiotensin_II_receptor_blocker_antihypertensive_medications. Placebo ,N/A,N/A,N
NCT00696423,Phase 3,Haemophilus_Influenzae_Type_b_Disease Diphtheria Pertussis Tetanus ,Infanrix‰ã¢ Hiberix‰ã¢ ,N/A,N/A,N
